OG_name	Emi219	Emi370	Emi374	Emi379	Emihu1	
OG1_5_1304	6	2	1	0	2	
OG1_5_1305	3	3	2	2	1	
OG1_5_1306	4	4	1	0	2	
OG1_5_1307	4	1	0	2	4	
OG1_5_1308	2	4	2	1	2	
OG1_5_1309	2	4	1	2	2	
OG1_5_1310	4	1	2	1	3	
OG1_5_1311	3	7	0	1	0	
OG1_5_1312	2	3	1	2	3	
OG1_5_1313	2	3	2	2	2	
OG1_5_1314	3	5	1	0	2	
OG1_5_1315	2	1	0	0	8	
OG1_5_1316	2	2	1	1	5	
OG1_5_1317	3	3	1	1	3	
OG1_5_1318	3	4	2	1	1	
OG1_5_1319	2	3	2	2	2	
OG1_5_1320	3	1	3	3	1	
OG1_5_1321	3	2	3	1	2	
OG1_5_1322	4	2	1	2	2	
OG1_5_1323	2	4	2	2	1	
OG1_5_1324	4	3	1	2	1	
OG1_5_1325	3	4	1	2	1	
OG1_5_1326	2	2	3	2	2	
OG1_5_1327	2	4	1	1	3	
OG1_5_1328	2	3	2	2	2	
OG1_5_1329	2	2	2	3	2	
OG1_5_1330	2	1	0	1	7	
OG1_5_1331	1	4	1	2	3	
OG1_5_1332	0	0	0	0	11	
OG1_5_1333	0	0	0	0	11	
OG1_5_1334	1	2	3	3	2	
OG1_5_1335	0	0	0	0	11	
OG1_5_1336	0	0	0	1	10	
OG1_5_1337	0	1	0	0	10	
OG1_5_1338	3	1	0	1	6	
OG1_5_1339	2	2	2	2	3	
OG1_5_1340	0	0	0	0	11	
OG1_5_1341	3	3	3	0	2	
OG1_5_1342	0	0	0	0	11	
OG1_5_1343	1	0	1	1	8	
OG1_5_1344	2	2	2	2	3	
OG1_5_1345	2	2	0	2	5	
OG1_5_1346	2	2	3	2	2	
OG1_5_1347	1	3	1	1	5	
OG1_5_1348	1	3	1	0	6	
OG1_5_1349	2	3	2	1	3	
OG1_5_1350	2	4	2	1	2	
OG1_5_1351	3	3	1	1	3	
OG1_5_1352	1	5	1	1	3	
OG1_5_1353	1	3	1	1	5	
OG1_5_1354	2	1	1	1	6	
OG1_5_1355	1	2	2	3	3	
OG1_5_1356	0	9	0	0	2	
OG1_5_1357	2	3	2	2	2	
OG1_5_1358	1	6	0	2	2	
OG1_5_1359	2	2	2	3	2	
OG1_5_1360	1	2	1	2	5	
OG1_5_1361	4	1	3	1	2	
OG1_5_1362	2	2	3	2	2	
OG1_5_1363	2	6	1	0	2	
OG1_5_1364	2	3	2	1	3	
OG1_5_1365	3	3	3	1	1	
OG1_5_1366	1	8	2	0	0	
OG1_5_1367	1	6	0	3	1	
OG1_5_1368	2	3	1	3	2	
OG1_5_1369	1	4	2	2	2	
OG1_5_1370	2	4	2	0	3	
OG1_5_1371	2	4	1	2	2	
OG1_5_1372	2	3	3	1	2	
OG1_5_1373	3	3	1	2	2	
OG1_5_1374	3	3	2	1	2	
OG1_5_1375	2	2	2	2	3	
OG1_5_1376	2	2	2	3	2	
OG1_5_1377	2	2	3	2	2	
OG1_5_1378	3	2	1	3	2	
OG1_5_1379	4	3	1	2	1	
OG1_5_1380	2	3	2	3	1	
OG1_5_1381	3	3	1	2	2	
OG1_5_1382	3	2	3	2	1	
OG1_5_1383	2	1	4	4	0	
OG1_5_1384	2	3	2	2	2	
OG1_5_1385	2	2	2	2	2	
OG1_5_1386	3	1	2	2	2	
OG1_5_1387	4	2	1	2	1	
OG1_5_1388	3	3	1	1	2	
OG1_5_1389	4	2	2	0	2	
OG1_5_1390	3	2	2	2	1	
OG1_5_1391	3	2	2	2	1	
OG1_5_1392	2	4	1	2	1	
OG1_5_1393	4	3	0	1	2	
OG1_5_1394	4	2	1	2	1	
OG1_5_1395	3	2	2	2	1	
OG1_5_1396	3	3	1	2	1	
OG1_5_1397	3	4	1	1	1	
OG1_5_1398	4	2	1	1	2	
OG1_5_1399	4	1	2	1	2	
OG1_5_1400	2	2	2	2	2	
OG1_5_1401	10	0	0	0	0	
OG1_5_1402	3	1	1	3	2	
OG1_5_1403	10	0	0	0	0	
OG1_5_1404	5	1	1	2	1	
OG1_5_1405	6	1	1	1	1	
