gID	E1-Q	E1-R	E1-S	E1-T	E1-V	E1-X	E1-Z1	E1-Z4	E2-Q	E2-R	E2-S	E2-T	E2-V	E2-X	E2-Z5	E2-Z9	E3-Q	E3-R	E3-S	E3-T	E3-V	E3-X	E3-Z10	E3-Z11
Lotamo	103865	84962	132100	121357	131060	131380	134222	103229	113614	81650	106156	128673	88523	106217	98938	130622	115765	107213	99079	111306	134335	239367	121893	117484
Pyrobo	88202	75985	93514	91771	70528	74725	85550	79867	91335	62228	88865	104683	61884	67667	73675	71858	87044	84526	270768	92576	64951	53983	90252	79689
Cafsp	69722	62664	71282	70416	51179	59563	62675	63856	76018	51466	73798	87900	50515	53429	64128	54889	71465	72860	41925	76262	51786	36405	71023	67501
Proadh	111913	93707	138179	133540	130333	109675	139933	115198	128141	89218	119268	133969	100450	107694	98290	125603	137298	117715	90603	125895	103731	120776	144689	129697
Pyrbah	460895	542583	474360	466070	366269	496077	443017	469869	534930	435915	519616	521166	401072	420648	492600	399665	489576	495995	321719	525373	389492	257776	537449	487807
Chrpol	302419	247527	309173	318700	212972	246466	349011	458253	352451	222574	347166	453865	212643	223039	438459	356121	315260	318371	183526	377705	231446	163258	347907	391412
Ostmed	568212	416177	588306	568073	452454	431854	506204	460062	487513	354620	551345	635102	379678	401462	456128	497707	564155	570933	361606	500650	475450	393140	570759	647225
CCMP2097	156847	141425	151643	139822	127319	143974	128477	135901	156411	120116	161156	194418	108895	126264	142066	121108	151495	157134	102072	153173	180609	126290	146894	150487
CCMP2098	308002	324061	340584	330839	327532	345119	299847	308663	334244	267265	340384	373208	279644	301993	301549	302596	334458	336450	407915	342197	312673	236497	340307	488380
RCC8561	2969	2145	3246	5307	1443	1952	3536	2275	2562	2094	3209	3284	1534	2085	2175	2811	3862	2418	1384	2609	1735	1462	3793	3224
Norsph	77535	71402	95871	87303	90637	80123	88185	83748	88531	64103	84747	96338	69823	77833	77851	99149	93402	94744	229663	90260	79688	94632	94585	114137
RCC8563	3399	2521	3799	4716	2357	2364	2964	2717	3031	2597	3678	3711	2131	2391	2582	2617	3133	2861	1763	2954	2153	1974	3221	3064
Ptedan	134860	103944	158754	151642	155736	116202	153367	132949	143708	104879	141600	160126	120773	121010	113804	138737	149692	128075	103398	142950	123321	110388	163179	145059
RCC8565	9472	2801	7804	6279	2889	3066	4426	2954	3812	2212	6371	8353	2976	2314	3965	3591	7221	7110	2420	3578	6243	3701	5517	6210
Chlrep	104732	103661	122051	115630	113349	113049	108296	104029	118745	86410	113775	126070	95172	100050	95826	103096	117027	108020	82316	116362	95265	89148	118574	110079
RCC8567	2451	2077	2473	2737	1666	2153	2645	2354	2455	1959	2741	2896	1610	2018	2325	2153	2366	2559	1583	2579	2079	1750	2705	2476
Strinc	127974	99775	141644	140941	105589	104568	138742	131656	130642	101910	124463	148487	101079	98295	117421	157725	135424	150903	92538	142938	146241	105419	144804	149023
Undescribed	37791	20590	40239	36401	29451	26436	35894	29251	32124	20463	32196	39009	21360	23934	29185	42328	35450	40440	19813	29952	33249	42523	37952	40514
Dacfra	62179	54299	81146	79267	82361	71756	81659	66987	73593	53290	67402	75111	63000	71370	59691	75934	73397	64766	57904	72036	79058	95947	83116	74904
Pycsp	41960	27668	39703	43535	25840	26603	35533	28746	34567	24046	37928	44093	22353	25181	30013	27248	37097	35869	20914	32222	27876	21999	38185	34881
Detcon	86621	85831	107344	101010	114141	94908	100498	92504	102673	76057	93662	104390	93537	96959	78503	92729	102866	93212	85610	103401	96763	80603	107520	96173
Stracu	231744	221904	226458	227367	178570	206113	227146	225412	231787	214383	238261	267568	188377	184044	235305	210664	234925	265171	159185	252544	219114	165291	273035	259817
Percos	120845	105120	153443	145004	138558	125070	145134	123945	141403	95051	126295	141116	112701	118928	105314	137135	140569	125467	94554	140412	105434	119270	149261	131853
Lepdan	239463	180617	305513	264560	294884	236251	261041	232328	242105	172990	222660	267705	217103	227977	206807	248395	234545	221009	220395	229252	260086	313724	261071	282055
Pracol	68152	50303	64057	62235	49203	49379	54459	52201	62396	44291	67921	83188	47654	46451	55457	47241	64509	64978	41368	61210	53446	36046	63507	62811
Strras	89816	47612	84287	86697	45487	47405	78956	67372	65174	52131	73073	86462	45539	43208	67116	85248	77368	89870	40553	73017	90449	53273	86815	91815
Togjol	248889	279094	269459	270008	199455	257508	242024	267101	275687	215266	269400	282455	204439	214015	265740	232586	270800	273576	171627	293220	205392	150472	298480	274288
Alvsp	84797	72039	90615	88412	68328	70981	78280	76896	86815	60438	87800	100160	62797	63640	74155	69578	85313	83586	222407	87379	62675	49165	89090	83287
Crusti	76606	65654	76309	76357	49099	61509	65646	67285	78170	54222	78638	95203	50709	56050	67113	54992	70732	69744	41484	76464	54856	37155	72635	66661
Hetaka	358184	235456	355095	348222	271104	236803	316419	274689	302848	214055	343865	395434	220572	235889	285561	330643	364009	355192	213148	311286	307295	253297	356648	438935
Styreg	145541	123072	158350	163284	116139	128627	140066	131613	144187	101645	155427	197157	113815	117626	126360	118308	147641	140177	92316	150058	116112	91748	152311	134003
Durbal	489399	556465	489926	493191	490030	517334	464458	501409	538813	466505	524378	556459	474105	463156	515631	435171	505000	519059	423474	542875	633285	365584	582713	538375
Ampcof	94990	78040	104141	87810	143277	95551	83259	82459	90680	78739	97955	100737	117791	107451	82915	81786	98178	100074	105685	89574	180101	113138	103210	95967
Nocsci	195357	199109	230866	211918	180929	207604	201390	204214	225255	159424	206141	227770	162636	179439	192242	192975	213660	215986	146619	372118	175700	186843	226300	218841
